farm,cycle,cage,date_operational,temperature,temp_qualy
farm 63,cycle 147,cage 8234,2019-10-25,9.4,TRUE
farm 63,cycle 147,cage 8234,2019-10-26,9.4,TRUE
farm 63,cycle 147,cage 8234,2019-10-27,9.3,TRUE
farm 63,cycle 147,cage 8234,2019-10-28,9.3,TRUE
farm 63,cycle 147,cage 8234,2019-10-29,9.3,TRUE
farm 63,cycle 147,cage 8234,2019-10-30,9.2,TRUE
farm 63,cycle 147,cage 8234,2019-10-31,9.2,TRUE
farm 63,cycle 147,cage 8234,2019-10-24,9.4,TRUE
farm 63,cycle 147,cage 8558,2019-10-25,9.4,TRUE
farm 63,cycle 147,cage 8558,2019-10-26,9.4,TRUE
farm 63,cycle 147,cage 8558,2019-10-27,9.4,TRUE
farm 63,cycle 147,cage 8558,2019-10-28,9.3,TRUE
farm 63,cycle 147,cage 8558,2019-10-29,9.3,TRUE
farm 63,cycle 147,cage 8558,2019-10-30,9.2,TRUE
farm 63,cycle 147,cage 8558,2019-10-31,9.2,TRUE
farm 63,cycle 147,cage 8558,2019-10-24,8.4,TRUE
farm 63,cycle 147,cage 8558,2019-10-22,7.3,TRUE
farm 63,cycle 147,cage 8558,2019-10-23,7.3,TRUE
farm 63,cycle 147,cage 8735,2019-10-25,9.4,TRUE
farm 63,cycle 147,cage 8735,2019-10-26,9.4,TRUE
farm 63,cycle 147,cage 8735,2019-10-27,9.3,TRUE
farm 63,cycle 147,cage 8735,2019-10-28,9.3,TRUE
farm 63,cycle 147,cage 8735,2019-10-29,9.3,TRUE
farm 63,cycle 147,cage 8735,2019-10-30,9.2,TRUE
farm 63,cycle 147,cage 8735,2019-10-31,9.2,TRUE
farm 63,cycle 147,cage 8735,2019-10-24,7.8,TRUE
farm 63,cycle 147,cage 8735,2019-10-22,7.3,TRUE
farm 63,cycle 147,cage 8735,2019-10-23,7.3,TRUE
farm 63,cycle 147,cage 3718,2019-10-25,9.4,TRUE
farm 63,cycle 147,cage 3718,2019-10-26,9.4,TRUE
farm 63,cycle 147,cage 3718,2019-10-27,9.3,TRUE
farm 63,cycle 147,cage 3718,2019-10-28,9.3,TRUE
